"","Year","Month","Site","PM","SM","unknown","NA","total","proportion","SiteType"
"118",2011,"August","SI",11,13,4,0,28,0.392857142857143,"More Contaminated"
"119",2011,"July","DC",1,5,1,0,7,0.142857142857143,"Less Contaminated"
"120",2011,"July","FP",3,6,0,0,9,0.333333333333333,"Less Contaminated"
"121",2011,"July","LS",6,3,0,0,9,0.666666666666667,"Less Contaminated"
"122",2011,"July","P27",3,8,0,0,11,0.272727272727273,"More Contaminated"
"123",2011,"July","SI",3,20,7,0,30,0.1,"More Contaminated"
"124",2011,"June","DC",9,7,1,0,17,0.529411764705882,"Less Contaminated"
"125",2011,"June","FP",11,3,0,0,14,0.785714285714286,"Less Contaminated"
"126",2011,"June","GC",1,2,1,0,4,0.25,"Less Contaminated"
"127",2011,"June","LS",18,8,5,0,31,0.580645161290323,"Less Contaminated"
"128",2011,"June","P27",1,3,0,0,4,0.25,"More Contaminated"
"129",2011,"June","SI",7,84,21,0,112,0.0625,"More Contaminated"
"130",2011,"May","DC",0,0,1,0,1,0,"Less Contaminated"
"131",2011,"May","FP",8,0,0,0,8,1,"Less Contaminated"
"132",2011,"May","GC",0,1,0,0,1,0,"Less Contaminated"
"133",2011,"May","LS",6,2,2,0,10,0.6,"Less Contaminated"
"134",2011,"May","P27",1,0,1,0,2,0.5,"More Contaminated"
"135",2011,"May","SI",1,8,0,0,9,0.111111111111111,"More Contaminated"
"136",2011,"October","DC",0,1,0,0,1,0,"Less Contaminated"
"137",2011,"September","FP",1,1,0,0,2,0.5,"Less Contaminated"
"138",2011,"September","P27",1,0,0,0,1,1,"More Contaminated"
"139",2012,"August","DC",1,0,0,0,1,1,"Less Contaminated"
"140",2012,"August","LS",4,0,0,0,4,1,"Less Contaminated"
"141",2012,"August","P27",21,11,2,0,34,0.617647058823529,"More Contaminated"
"142",2012,"August","SI",1,1,0,0,2,0.5,"More Contaminated"
"143",2012,"July","DC",6,2,0,0,8,0.75,"Less Contaminated"
"144",2012,"July","FP",8,3,1,0,12,0.666666666666667,"Less Contaminated"
"145",2012,"July","GC",2,0,0,0,2,1,"Less Contaminated"
"146",2012,"July","LS",6,3,0,0,9,0.666666666666667,"Less Contaminated"
"147",2012,"July","P27",3,4,2,0,9,0.333333333333333,"More Contaminated"
"148",2012,"July","SI",7,7,7,0,21,0.333333333333333,"More Contaminated"
"149",2012,"June","DC",9,0,2,0,11,0.818181818181818,"Less Contaminated"
"150",2012,"June","FP",8,3,1,0,12,0.666666666666667,"Less Contaminated"
"151",2012,"June","LS",5,0,0,0,5,1,"Less Contaminated"
"152",2012,"June","P27",1,1,0,0,2,0.5,"More Contaminated"
"153",2012,"June","SI",1,6,4,0,11,0.0909090909090909,"More Contaminated"
"154",2012,"May","DC",6,5,1,0,12,0.5,"Less Contaminated"
"155",2012,"May","FP",2,3,0,0,5,0.4,"Less Contaminated"
"156",2012,"May","GC",2,2,0,0,4,0.5,"Less Contaminated"
"157",2012,"May","LS",4,5,0,0,9,0.444444444444444,"Less Contaminated"
"158",2012,"May","P27",3,1,0,0,4,0.75,"More Contaminated"
"159",2012,"May","SI",0,26,8,0,34,0,"More Contaminated"
"160",2012,"October","LS",0,1,0,0,1,0,"Less Contaminated"
"161",2012,"October","P27",0,1,0,0,1,0,"More Contaminated"
"162",2012,"September","P27",2,0,0,0,2,1,"More Contaminated"
"163",2013,"August","DC",1,0,0,0,1,1,"Less Contaminated"
"164",2013,"August","FP",1,1,1,0,3,0.333333333333333,"Less Contaminated"
"165",2013,"August","LS",9,1,0,0,10,0.9,"Less Contaminated"
